,City,CompanyName,Date,From,JobLink,JobTitle_x,JobType,Job_ID,Position,Province,Salary,KeyWord,Skill_ID,Skill,JobTitle_y,Category
99,Toronto,RBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=9ecd343b1af0ad31,Data Scientist,Not Informed,9ecd343b1af0ad31,['Data Scientist'], ON,Not Informed, Java,31,Java,Data Scientist,Hard
100,Calgary,RS Energy Group,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=27bb68bd9f01278a,"Data Scientist - Calgary, AB",Not Informed,27bb68bd9f01278a,"['Data Scientist - Calgary, AB']", AB,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
101,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, Python,1,Python,Data Scientist,Hard
102,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, SQL,2,SQL,Data Scientist,Hard
103,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, Math,6,Mathematcs,Data Scientist,Education
104,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, Statistics,8,Statistics,Data Scientist,Major
105,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, AI,10,Artificial Intelligence,Data Scientist,major
106,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, R,11,R,Data Scientist,Hard
107,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, Computer Science,25,Computer Science,Data Scientist,Major
108,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, Software Engineering,26,Software Engineering,Data Scientist,Major
109,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, SAS,28,SAS,Data Scientist,Hard
110,Montréal,Breathe Life,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=92014f82b82ba5f4,Data Scientist,Not Informed,92014f82b82ba5f4,['Data Scientist'], QC,Not Informed, Bachelor,33,Bachelor,Data Scientist,Education
112,Moncton,Fiddlehead,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=d37eea309518a08b,Data Scientist,Not Informed,d37eea309518a08b,['Data Scientist'], NB,['Permanent'], Python,1,Python,Data Scientist,Hard
